mesh2,lon,lat,pjan,pfeb,pmar,papr,pmay,pjun,pjul,paug,psep,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
664301,143.1875,44.041666500000005,54.248,37.083,68.125,47.121,57.75,55.348,100.739,112.139,121.944,89.186,76.876,57.233,-10.1,-9.733,-4.991,2.448,8.58,12.88,16.814,17.957,12.961,6.675,-0.081,-6.675
664302,143.31249999999997,44.041666500000005,53.674,36.203,39.026,43.447,56.003,55.605,100.6,119.457,119.756,83.807,59.237,55.321,-9.891,-9.57,-4.779,2.857,8.861,13.002,16.929,18.23,13.3,6.874,0.189,-6.412
664303,143.4375,44.041666500000005,50.693,33.402,32.653999999999996,41.597,54.546,59.36,99.169,117.511,114.953,78.821,53.778,52.226,-9.365,-9.209,-4.011,3.717,9.613,13.555,17.502,19.056,14.33,7.716,1.05,-5.9
664304,143.56249999999997,44.041666500000005,47.847,31.684,33.56,41.252,51.64,57.583,98.875,115.929,112.306,78.051,49.599,49.524,-8.961,-8.781,-3.601,4.026,9.744,13.744,17.678,19.361,14.735,8.255,1.48,-5.365
664305,143.68749999999997,44.041666500000005,46.235,31.34,35.391,43.157000000000004,53.235,58.403,101.362,116.665,115.55,77.43599999999999,52.661,48.624,-8.949,-8.772,-3.588,3.871,9.539,13.525,17.504,19.301000000000002,14.876,8.37,1.631,-5.214
664306,143.81249999999997,44.041666500000005,47.091,31.298000000000002,32.686,44.498,59.223,59.395,98.829,114.533,117.454,80.61,55.431,48.792,-8.734,-8.778,-3.518,3.716,9.38,13.343,17.329,19.248,15.003,8.604,1.815,-5.089
664307,143.9375,44.041666500000005,47.252,33.137,33.918,42.56,61.342,61.793,96.361,112.252,119.35,79.097,57.406,49.116,-8.312,-8.557,-3.351,3.685,9.375,13.261,17.208,19.272,15.151,8.839,2.028,-4.808
664310,143.0625,44.125,58.077,41.372,45.092,49.213,58.402,59.028999999999996,102.372,116.294,130.239,93.545,83.533,68.757,-8.975999999999999,-8.65,-3.91,3.426,9.512,13.65,17.575,18.923,13.922,7.505,0.9420000000000001,-5.404
664311,143.1875,44.125,57.44,37.234,38.516,45.051,56.787,56.554,99.448,105.273,124.697,79.343,66.12,58.119,-9.021,-8.775,-3.935,3.473,9.498,13.355,17.313,18.899,14.069,7.639,0.9430000000000001,-5.573
664312,143.3125,44.125,58.804,37.87,50.273,45.344,63.946,59.466,98.301,108.801,123.965,88.36,60.897,59.936,-9.599,-9.43,-4.646,2.838,8.902,12.664,16.711,18.408,13.611,7.189,0.40700000000000003,-6.102
664313,143.4375,44.125,55.805,36.018,41.787,45.096000000000004,58.455,58.811,94.796,113.104,118.286,82.162,59.276,56.461,-9.186,-9.082,-4.124,3.386,9.193,12.932,16.976,18.794,14.203,7.664,0.929,-5.668
664314,143.5625,44.125,51.124,33.732,35.147999999999996,43.859,55.436,58.373,96.574,114.294,114.281,77.369,52.022,50.954,-8.413,-8.415,-3.3329999999999997,3.949,9.488,13.269,17.292,19.233,14.977,8.571,1.798,-4.864
664315,143.6875,44.125,45.257471264367815,32.35287356321839,35.61149425287356,43.240229885057474,50.48850574712644,57.224137931034484,97.18275862068965,111.19310344827586,113.0816091954023,73.38850574712643,53.40574712643678,48.40344827586207,-7.888505747126437,-8.029885057471263,-3.014942528735632,4.157471264367816,9.557471264367816,13.327586206896552,17.348275862068967,19.410344827586208,15.325287356321839,8.970114942528735,2.325287356321839,-4.313793103448276
664316,143.8125,44.125,42.26857142857143,29.934285714285714,34.46857142857143,44.777142857142856,53.16285714285714,57.15428571428571,95.75428571428571,109.83142857142857,114.46285714285715,74.85714285714286,53.857142857142854,47.55142857142857,-7.68,-7.98,-2.9457142857142857,3.9914285714285715,9.457142857142857,13.217142857142857,17.242857142857144,19.402857142857144,15.494285714285715,9.26,2.5542857142857143,-4.145714285714286
664317,143.9375,44.125,41.082,26.704,32.486,44.66,57.876,59.146,92.832,105.424,114.922,72.82,53.746,46.474,-7.032,-7.502,-2.682,4.174,9.496,13.176,17.196,19.568,15.804,9.686,3.014,-3.43
664320,143.0625,44.208333499999995,58.23,40.002,48.13,48.45,59.443,59.925,104.21,116.501,130.037,93.884,76.82600000000001,64.941,-8.959,-8.784,-3.827,3.436,9.335,13.327,17.275,18.806,14.023,7.581,1.073,-5.376
664321,143.1875,44.208333499999995,59.488,37.834,39.321,43.897,52.713,57.912,101.655,110.618,126.452,75.22,63.136,56.351,-8.33,-8.335,-3.405,3.743,9.638,13.264,17.242,19.069,14.526,8.074,1.473,-4.988
664322,143.31249999999997,44.208333499999995,62.273,40.69,40.424,47.798,60.086,61.502,99.879,109.828,127.29,82.654,62.833,61.899,-8.4,-8.427999999999999,-3.659,3.45,9.296,12.774000000000001,16.851,18.88,14.5,8.147,1.312,-5.022
664323,143.4375,44.208333499999995,57.342,37.516,35.207,47.229,59.667,61.676,95.978,109.76,119.545,80.286,60.527,57.174,-8.124,-8.203,-3.536,3.484,9.084,12.505,16.618,18.824,14.701,8.389,1.568,-4.697
664324,143.56249999999997,44.208333499999995,45.885714285714286,31.48265306122449,34.29489795918367,45.52448979591837,54.454081632653065,61.46734693877551,95.86122448979592,104.99795918367347,114.12959183673469,70.49183673469388,54.23571428571429,49.93265306122449,-7.160204081632653,-7.380612244897959,-2.7040816326530615,4.177551020408163,9.511224489795918,12.962244897959184,17.058163265306124,19.362244897959183,15.50612244897959,9.327551020408164,2.6112244897959185,-3.7183673469387757
664325,143.68749999999997,44.208333499999995,40.14042553191489,27.217021276595744,34.43829787234043,44.719148936170214,51.759574468085106,59.87659574468085,96.27021276595745,101.51063829787233,112.82340425531915,67.77021276595745,51.62340425531915,47.374468085106386,-6.870212765957446,-7.2106382978723405,-2.519148936170213,4.257446808510638,9.380851063829788,12.929787234042553,17.03404255319149,19.380851063829788,15.712765957446809,9.636170212765958,3.0127659574468084,-3.4063829787234043
664326,143.81249999999997,44.208333499999995,36.58181818181818,22.918181818181818,34.518181818181816,44.81818181818182,54.89090909090909,59.445454545454545,95.52727272727273,104.84545454545454,114.17272727272727,70.63636363636364,49.43636363636364,46.37272727272727,-6.7727272727272725,-7.136363636363636,-2.5,4.263636363636364,9.227272727272727,12.927272727272728,17.01818181818182,19.409090909090907,15.845454545454546,9.8,3.2454545454545456,-3.2090909090909094
664330,143.0625,44.291666500000005,64.15,40.149,76.682,50.916,71.479,64.678,103.502,116.412,135.479,107.131,81.678,66.657,-9.723,-9.655,-4.802,2.156,8.059,11.994,16.006,17.705,13.029,6.837,0.136,-6.155
664331,143.1875,44.291666500000005,60.369,38.616,46.721000000000004,40.434,61.603,58.78,100.2,117.562,126.404,79.221,65.125,55.137,-8.359,-8.332,-3.545,3.386,9.05,12.566,16.598,18.657,14.383000000000001,8.005,1.292,-4.905
664332,143.31249999999997,44.291666500000005,58.23,38.581,36.787,44.85,55.325,59.392,98.253,113.735,123.858,74.029,60.303,57.493,-7.15,-7.336,-2.803,3.987,9.349,12.615,16.713,19.112,15.255,8.982,2.191,-3.89
664333,143.4375,44.291666500000005,47.51044776119403,32.80746268656716,33.341791044776116,45.917910447761194,57.98955223880597,62.625373134328356,98.2134328358209,105.62238805970149,118.83582089552239,70.65223880597014,59.42686567164179,55.88358208955224,-6.632835820895522,-6.943283582089553,-2.5,4.037313432835821,9.197014925373134,12.392537313432836,16.577611940298507,19.144776119402984,15.553731343283582,9.408955223880596,2.671641791044776,-3.4149253731343285
664334,143.56249999999997,44.291666500000005,41.3,27.21,30.67,46.9,55.92,64.77,97.7,103.56,118.62,69.66,58.629999999999995,53.05,-6.35,-6.62,-2.3099999999999996,4.31,9.24,12.7,16.85,19.4,15.8,9.74,3.08,-2.99
664340,143.0625,44.375,62.489,41.646,62.388,49.864,67.085,68.286,103.613,119.733,133.039,95.865,73.615,62.897999999999996,-8.193,-8.199,-3.438,3.475,8.941,12.623,16.622,18.712,14.33,8.109,1.453,-4.649
664341,143.1875,44.375,55.612,37.022,38.691,41.65,62.321,62.821,99.225,112.379,122.872,78.291,62.183,54.427,-7.429,-7.511,-3.007,3.686,8.878,12.312,16.389,18.818,14.888,8.694,1.963,-3.9739999999999998
664342,143.3125,44.375,46.7231884057971,32.51449275362319,35.82028985507247,45.96086956521739,61.082608695652176,61.72898550724638,99.07246376811594,110.5927536231884,124.32028985507246,74.16231884057972,58.630434782608695,56.027536231884056,-6.166666666666667,-6.48695652173913,-2.239130434782609,4.118840579710145,9.133333333333333,12.369565217391305,16.463768115942027,19.142028985507245,15.689855072463768,9.72463768115942,2.9231884057971014,-2.9942028985507245
664350,143.0625,44.458333499999995,59.0959595959596,40.81111111111111,53.061616161616165,48.73737373737374,61.82525252525252,65.17272727272727,103.27474747474747,124.61212121212121,128.94141414141413,92.67373737373737,72.31515151515151,63.27979797979798,-7.569696969696969,-7.668686868686868,-3.025252525252525,3.6575757575757577,8.657575757575758,12.188888888888888,16.247474747474747,18.693939393939395,14.76969696969697,8.61919191919192,1.8727272727272728,-4.090909090909091
664351,143.1875,44.458333499999995,43.46153846153846,30.282692307692308,37.32884615384616,43.590384615384615,57.353846153846156,63.925,99.70769230769231,112.95961538461539,123.31346153846154,75.21153846153847,58.70576923076923,55.17307692307693,-6.630769230769231,-6.9192307692307695,-2.4615384615384617,3.9826923076923078,8.759615384615385,12.15,16.244230769230768,18.907692307692308,15.317307692307692,9.3,2.621153846153846,-3.2807692307692307
