data	model	time
W2F	vgg	5.871405277777777
W2F	vgg	5.887193333333334
W2F	resnet	5.1792283333333335
W2F	resnet	5.248453333333333
W2F	resnet	5.184904722222223
W2F	resnet	5.317345277777777
W2F	resnet	5.287071388888889
W2F	resnet	5.1646761111111115
W2F	resnet	5.181502777777778
W2F	resnet	5.2287175
W2F	resnet	5.151378888888889
W2F	resnet	5.224605833333333
W2F	vgg19	7.090863888888888
W2F	vgg19	7.192514444444445
W2F	vgg19	7.11424
W2F	vgg19	7.256443888888889
W2F	vgg19	7.249384166666666
W2F	vgg19	7.149387777777778
W2F	vgg19	7.064209722222222
W2F	vgg19	7.150736388888889
W2F	vgg19	7.214485555555556
W2F	vgg19	7.1695400000000005
W2F	resnet152	7.411366388888889
W2F	resnet152	7.518093888888889
W2F	resnet152	7.401300555555556
W2F	resnet152	7.552237222222222
W2F	resnet152	7.618694444444444
W2F	resnet152	7.379514444444444
W2F	resnet152	7.5162297222222225
W2F	resnet152	7.386539166666667
W2F	resnet152	7.311993333333334
W2F	resnet152	7.434543333333334
